P (bar) ;Tc,G (mK) ;Tc,PLTS (mK) 
34,338;2,491;2,443
34;2,486;2,439
33;2,474;2,427
32;2,463;2,416
31;2,451;2,404
30;2,438;2,392
29;2,425;2,380
28;2,411;2,366
27;2,395;2,351
26;2,378;2,334
25;2,360;2,316
24;2,339;2,296
23;2,317;2,275
22;2,293;2,251
21;2,267;2,226
20;2,239;2,199
19;2,209;2,170
18;2,177;2,139
17;2,143;2,106
16;2,106;2,071
15;2,067;2,033
14;2,026;1,992
13;1,981;1,949
12;1,934;1,903
11;1,883;1,854
10;1,828;1,800
9;1,769;1,743
8;1,705;1,680
7;1,636;1,613
6;1,560;1,539
5;1,478;1,458
4;1,388;1,370
3;1,290;1,272
2;1,181;1,164
1;1,061;1,043
0;0,929;0,908